id,sitio,populacion,sexo,cabeza,craneo,largo_total,cola,pie,oreja,ojo,torax,vientre,edad
1,sitio 1,Vic,m,94.1,60.4,89.0,36.0,74.5,54.5,15.2,28.0,36.0,8.0
2,sitio 1,Vic,f,92.5,57.6,91.5,36.5,72.5,51.2,16.0,28.5,33.0,6.0
3,sitio 1,Vic,f,94.0,60.0,95.5,39.0,75.4,51.9,15.5,30.0,34.0,6.0
4,sitio 1,Vic,f,93.2,57.1,92.0,38.0,76.1,52.2,15.2,28.0,34.0,6.0
5,sitio 1,Vic,f,91.5,56.3,85.5,36.0,71.0,53.2,15.1,28.5,33.0,2.0
6,sitio 1,Vic,f,93.1,54.8,90.5,35.5,73.2,53.6,14.2,30.0,32.0,1.0
7,sitio 1,Vic,m,95.3,58.2,89.5,36.0,71.5,52.0,14.2,30.0,34.5,2.0
8,sitio 1,Vic,f,94.8,57.6,91.0,37.0,72.7,53.9,14.5,29.0,34.0,6.0
9,sitio 1,Vic,f,93.4,56.3,91.5,37.0,72.4,52.9,15.5,28.0,33.0,9.0
10,sitio 1,Vic,f,91.8,58.0,89.5,37.5,70.9,53.4,14.4,27.5,32.0,6.0
11,sitio 1,Vic,f,93.3,57.2,89.5,39.0,77.2,51.3,14.9,31.0,34.0,9.0
12,sitio 1,Vic,f,94.9,55.6,92.0,35.5,71.7,51.0,15.3,28.0,33.0,5.0
13,sitio 1,Vic,m,95.1,59.9,89.5,36.0,71.0,49.8,15.8,27.0,32.0,5.0
14,sitio 1,Vic,m,95.4,57.6,91.5,36.0,74.3,53.7,15.1,28.0,31.5,3.0
15,sitio 1,Vic,m,92.9,57.6,85.5,34.0,69.7,51.8,15.7,28.0,35.0,5.0
16,sitio 1,Vic,,,,,,,,14.4,28.0,32.0,4.0
17,sitio 1,Vic,f,94.7,67.7,89.5,36.5,73.2,53.2,14.7,29.0,31.0,1.0
18,sitio 1,Vic,m,93.5,55.7,90.0,36.0,73.7,55.4,15.3,28.0,32.0,2.0
19,sitio 1,Vic,f,94.4,55.4,90.5,35.0,73.4,53.9,15.2,28.0,32.0,5.0
20,sitio 1,Vic,f,94.8,56.3,89.0,38.0,73.8,52.4,15.5,27.0,36.0,4.0
21,sitio 1,Vic,f,95.9,58.1,96.5,39.5,77.9,52.9,14.2,30.0,40.0,3.0
22,sitio 1,Vic,m,96.3,58.5,91.0,39.5,73.5,52.1,16.2,28.0,36.0,3.0
23,sitio 1,Vic,f,92.5,56.1,89.0,36.0,72.8,53.3,15.4,28.0,35.0,4.0
24,sitio 1,Vic,m,94.4,54.9,84.0,34.0,75.0,53.5,16.2,27.0,32.0,2.0
25,sitio 1,Vic,m,95.8,58.5,91.5,35.5,72.3,51.6,14.9,31.0,35.0,3.0
26,sitio 1,Vic,m,96.0,59.0,90.0,36.0,73.6,56.2,15.0,29.0,38.0,7.0
27,sitio 1,Vic,f,90.5,54.5,85.0,35.0,70.3,50.8,14.2,23.0,28.0,2.0
28,sitio 1,Vic,m,93.8,56.8,87.0,34.5,73.2,53.0,15.3,27.0,30.0,4.0
29,sitio 1,Vic,f,92.8,56.0,88.0,35.0,74.9,51.8,14.0,24.0,32.0,3.0
30,sitio 1,Vic,f,92.1,54.4,84.0,33.5,70.6,50.8,14.5,24.5,33.0,2.0
31,sitio 1,Vic,m,92.8,54.1,93.0,37.0,68.0,52.5,14.5,27.0,31.0,3.0
32,sitio 1,Vic,f,94.3,56.7,94.0,39.0,74.8,52.0,14.9,28.0,34.0,4.0
33,sitio 1,Vic,m,91.4,54.6,89.0,37.0,70.8,51.8,14.8,24.0,30.0,3.0
34,sitio 2,Vic,m,90.6,55.7,85.5,36.5,73.1,53.1,14.4,26.0,28.5,2.0
35,sitio 2,Vic,m,94.4,57.9,85.0,35.5,71.2,55.5,16.4,28.0,35.5,4.0
36,sitio 2,Vic,,,,,,,,14.9,25.5,36.0,7.0
37,sitio 2,Vic,f,89.3,54.8,82.5,35.0,71.2,52.0,13.6,28.0,31.5,2.0
38,sitio 2,Vic,m,92.4,56.0,80.5,35.5,68.4,49.5,15.9,27.0,30.0,7.0
39,sitio 2,Vic,f,84.7,51.5,75.0,34.0,68.7,53.4,13.0,25.0,25.0,1.0
40,sitio 2,Vic,f,91.0,55.0,84.5,36.0,72.8,51.4,13.6,27.0,30.0,3.0
41,sitio 2,Vic,f,88.4,57.0,83.0,36.5,,40.3,15.9,27.0,30.5,5.0
42,sitio 2,Vic,m,85.3,54.1,77.0,32.0,62.7,51.2,13.8,25.5,33.0,3.0
43,sitio 2,Vic,f,90.0,55.5,81.0,32.0,72.0,49.4,13.4,29.0,31.0,2.0
45,sitio 2,Vic,m,90.7,55.9,81.0,34.0,71.5,54.0,14.6,27.0,31.5,3.0
47,sitio 3,other,m,90.1,54.8,89.0,37.5,66.0,45.5,15.0,25.0,33.0,2.0
48,sitio 3,other,m,98.6,63.2,85.0,34.0,66.9,44.9,17.0,28.0,35.0,5.0
49,sitio 3,other,m,95.4,59.2,85.0,37.0,69.0,45.0,15.9,29.5,35.5,4.0
50,sitio 3,other,f,91.6,56.4,88.0,38.0,65.0,47.2,14.9,28.0,36.0,5.0
51,sitio 3,other,f,95.6,59.6,85.0,36.0,64.0,43.9,17.4,28.0,38.5,5.0
52,sitio 3,other,m,97.6,61.0,93.5,40.0,67.9,44.3,15.8,28.5,32.5,6.0
53,sitio 3,other,f,93.1,58.1,91.0,38.0,67.4,46.0,16.5,26.0,33.5,3.0
54,sitio 4,other,m,96.9,63.0,91.5,43.0,71.3,46.0,17.5,30.0,36.5,7.0
55,sitio 4,other,m,103.1,63.2,92.5,38.0,72.5,44.9,16.4,30.5,36.0,2.0
56,sitio 4,other,m,99.9,61.5,93.7,38.0,68.7,46.8,16.4,27.5,31.5,3.0
57,sitio 4,other,f,95.1,59.4,93.0,41.0,67.2,45.3,14.5,31.0,39.0,4.0
