id,Humidity,Wind_Speed_kmh,rumbo_viento_grados,visibilidad_km,presion_mbar,lluvia,descripcion,temperatura
0,0.92,11.27,130.0,8.05,1021.6,no,Cold,-0.56
1,0.73,20.93,330.0,16.1,1017.0,si,Warm,21.11
2,0.97,5.97,193.0,14.91,1013.99,si,Normal,16.6
3,0.82,3.22,300.0,16.1,1031.59,si,Cold,1.6
4,0.6,10.88,116.0,9.98,1020.88,si,Cold,2.19
5,0.32,21.46,190.0,10.35,1015.33,si,Warm,27.54
6,0.84,7.97,170.0,11.13,1009.04,si,Warm,19.98
7,0.86,14.49,30.0,15.13,1009.6,si,Normal,11.11
8,0.73,14.01,351.0,15.83,1018.39,si,Normal,8.41
9,0.81,6.44,320.0,7.86,1003.89,si,Cold,1.7
10,0.88,14.01,141.0,6.02,1021.28,no,Cold,-2.22
11,0.6,1.42,204.0,15.83,1019.52,si,Warm,21.9
12,0.87,11.03,1.0,14.91,1015.92,si,Normal,17.11
13,0.73,4.07,297.0,9.76,1013.06,si,Normal,17.77
14,0.39,7.66,35.0,9.98,1025.59,si,Warm,24.95
15,0.92,3.22,310.0,3.46,1024.3,no,Cold,-2.71
16,0.78,4.83,180.0,9.98,1018.76,si,Warm,18.89
17,0.82,20.4,280.0,15.83,1009.0,si,Cold,4.33
18,0.54,9.32,349.0,16.1,1013.24,si,Warm,23.89
19,0.68,12.38,350.0,9.98,1019.48,no,Cold,-2.22
20,0.78,23.68,32.0,14.17,1022.92,si,Normal,8.97
21,0.35,11.27,40.0,16.1,1018.01,si,Warm,21.2
22,0.83,1.75,190.0,16.1,1014.18,si,Normal,7.76
23,0.58,26.47,241.0,16.1,1013.71,si,Normal,16.04
24,0.4,15.02,180.0,9.98,1011.3,si,Warm,25.99
25,0.73,12.51,13.0,9.98,1012.96,si,Normal,17.81
26,0.92,9.11,143.0,1.05,1036.65,si,Cold,0.07
27,0.9,10.75,160.0,7.21,1009.98,si,Normal,12.78
28,0.86,3.19,192.0,6.2,1012.82,si,Normal,5.99
29,0.9,11.27,71.0,6.36,1008.54,no,Cold,-4.37
30,0.93,3.22,170.0,15.73,1015.81,si,Normal,14.98
31,0.96,9.66,253.0,3.01,1012.53,si,Normal,12.78
32,0.81,20.08,120.0,9.9,1022.6,si,Normal,12.06
33,0.75,3.22,20.0,16.1,1023.4,si,Normal,15.0
34,0.38,19.14,223.0,15.55,1006.44,si,Warm,22.73
35,0.56,10.21,109.0,15.55,1015.94,si,Normal,12.54
36,0.74,11.04,221.0,11.27,1007.3,si,Warm,20.81
37,0.74,11.27,290.0,9.98,1014.48,si,Warm,22.6
38,0.74,24.62,358.0,9.63,1008.34,si,Normal,13.66
39,0.29,17.08,309.0,9.98,1017.31,si,Warm,23.91
40,0.96,7.7,323.0,9.98,1032.17,si,Cold,2.57
41,0.73,9.66,200.0,11.27,1014.9,si,Warm,21.11
42,0.86,20.69,311.0,5.22,1018.23,si,Normal,4.98
43,0.65,20.53,320.0,9.98,1016.46,si,Warm,27.11
44,0.83,14.49,140.0,16.1,1002.7,si,Normal,7.22
45,0.68,11.21,1.0,11.27,1015.8,si,Warm,25.01
46,0.99,3.64,315.0,6.3,1014.85,si,Normal,16.13
47,0.84,3.24,355.0,14.17,1027.12,si,Normal,11.39
48,0.78,9.13,9.0,6.3,1017.82,si,Cold,2.29
49,0.96,26.45,197.0,15.01,992.24,si,Normal,9.58
50,0.61,44.63,309.0,11.5,1019.96,si,Normal,9.05
51,0.87,10.69,130.0,14.81,1011.08,si,Normal,4.98
52,0.95,1.74,146.0,8.58,1030.02,si,Normal,12.21
53,0.71,6.44,170.0,15.13,1032.8,no,Cold,-3.33
54,0.86,10.38,311.0,15.18,1017.52,si,Normal,17.82
55,0.47,8.03,267.0,10.35,1015.5,si,Warm,29.83
56,0.78,34.7,150.0,9.87,993.93,si,Normal,12.79
57,0.51,14.12,159.0,11.21,1006.26,si,Normal,14.95
58,0.49,11.67,312.0,11.45,1009.59,si,Normal,15.83
59,0.72,21.94,339.0,11.45,1017.13,si,Warm,19.97
60,0.85,16.74,312.0,10.26,1013.39,si,Normal,17.45
61,0.93,13.96,181.0,12.25,1019.68,si,Normal,6.69
62,0.86,16.1,320.0,11.27,1009.3,si,Normal,10.0
63,0.37,6.63,185.0,16.1,1009.93,si,Warm,24.0
64,0.91,7.57,349.0,11.21,1019.15,si,Normal,14.01
65,0.37,9.14,154.0,9.98,1010.72,si,Warm,27.61
66,0.6,8.13,52.0,9.98,1017.55,si,Normal,15.06
67,0.66,3.96,139.0,7.44,1012.64,si,Normal,17.28
68,0.87,5.41,264.0,8.05,1002.38,no,Cold,-2.2
69,0.7,7.41,107.0,10.37,1018.18,si,Normal,16.18
70,0.64,7.89,321.0,9.98,1019.1,si,Normal,15.05
71,0.65,34.63,309.0,10.05,1009.67,si,Normal,6.09
72,0.63,24.67,279.0,11.45,1018.97,si,Normal,8.63
73,0.92,6.44,0.0,14.96,1017.18,si,Normal,18.0
74,0.85,22.09,330.0,8.13,1011.16,si,Normal,18.75
75,0.59,3.09,16.0,15.15,1017.25,si,Normal,12.07
76,0.31,12.08,238.0,10.37,1026.32,si,Normal,17.12
77,0.83,1.61,90.0,9.98,1018.8,si,Normal,10.0
78,0.93,6.3,207.0,8.13,1016.47,si,Normal,15.62
79,0.48,20.85,23.0,10.35,1022.32,no,Cold,-2.88
80,1.0,12.43,340.0,4.88,1002.93,si,Normal,7.11
81,0.72,7.73,219.0,9.98,1017.96,si,Warm,22.58
82,0.39,11.27,140.0,9.98,1012.3,si,Warm,27.22
83,0.82,7.02,334.0,5.68,1023.57,si,Cold,0.1
84,0.77,13.97,144.0,9.98,1018.87,si,Cold,2.84
85,0.29,3.22,110.0,9.98,1013.7,si,Warm,27.22
86,0.87,3.32,22.0,9.98,1021.99,si,Normal,14.82
87,0.77,32.81,10.0,9.98,1016.11,si,Normal,7.32
88,0.93,3.28,225.0,10.06,1012.18,si,Normal,14.23
89,0.75,13.8,175.0,11.75,1019.07,si,Normal,9.38
90,0.41,20.24,21.0,9.98,1011.92,si,Warm,29.84
91,0.75,3.16,177.0,16.1,1016.09,si,Normal,6.63
92,0.9,13.78,19.0,3.98,1015.08,si,Normal,6.02
93,0.9,6.41,19.0,7.87,1025.67,si,Cold,1.74
94,0.87,10.9,189.0,4.85,1017.76,si,Normal,7.11
95,0.46,11.45,10.0,11.32,1007.18,si,Warm,19.83
96,0.64,16.31,8.0,9.98,1023.6,si,Normal,15.83
97,0.85,10.63,136.0,12.12,1018.12,si,Normal,17.57
98,0.85,5.06,87.0,15.83,1015.64,si,Warm,22.55
99,0.44,16.31,309.0,10.35,1020.52,si,Warm,29.95
100,0.9,17.69,310.0,15.13,1015.02,si,Normal,12.71
101,0.88,0.52,280.0,9.98,1013.14,no,Cold,-1.13
102,0.92,9.66,250.0,1.93,1022.2,no,Cold,0.0
103,1.0,1.64,76.0,0.6,1018.87,si,Normal,16.16
104,0.89,17.71,340.0,15.13,1021.5,si,Normal,6.67
105,0.71,13.15,281.0,14.39,1008.44,si,Normal,7.27
106,0.83,16.1,150.0,9.98,1013.5,si,Normal,7.78
107,0.8,16.94,212.0,9.63,1030.45,si,Cold,2.14
108,0.35,4.49,145.0,16.1,1023.39,si,Normal,17.8
109,1.0,4.81,156.0,1.96,1008.86,si,Cold,0.09
110,0.28,9.63,326.0,9.98,1022.44,si,Warm,32.71
111,0.73,5.25,195.0,9.98,1024.59,no,Cold,-0.3
112,0.29,12.8,121.0,9.98,1015.78,si,Warm,22.73
113,0.63,11.21,301.0,9.98,1010.03,si,Warm,21.09
114,0.34,12.56,340.0,16.1,1019.31,si,Warm,23.82
115,0.95,6.47,256.0,5.22,1016.22,no,Cold,-2.27
116,0.69,25.0,173.0,11.59,1008.43,si,Warm,19.93
117,0.71,10.59,350.0,15.83,1028.07,no,Cold,-7.94
118,0.99,1.06,184.0,3.62,1013.21,si,Normal,6.14
119,0.2,2.72,141.0,10.35,1016.78,si,Warm,35.02
120,0.92,2.96,204.0,1.45,1000.87,si,Cold,1.11
121,0.88,12.22,348.0,8.26,1028.52,si,Normal,8.78
122,0.86,10.74,137.0,9.71,1012.9,si,Normal,5.44
123,0.34,0.4,238.0,16.1,1011.2,si,Warm,26.02
124,0.92,5.35,333.0,10.05,1013.72,si,Normal,18.27
125,0.53,6.3,351.0,11.45,1008.26,si,Warm,27.24
126,1.0,9.4,219.0,0.31,1033.92,no,Cold,-1.08
127,0.96,3.2,339.0,0.18,1023.64,si,Cold,4.28
128,0.94,1.27,317.0,1.77,1025.11,si,Normal,4.68
129,0.73,20.56,159.0,10.35,1008.8,si,Normal,9.98
130,0.46,4.6,60.0,9.98,1012.48,si,Warm,24.97
131,0.68,23.89,319.0,8.19,1024.88,si,Normal,14.73
132,0.82,12.19,329.0,7.97,1015.58,si,Normal,5.02
133,0.62,11.14,180.0,9.98,1019.53,si,Normal,15.15
134,0.76,1.43,44.0,11.4,1023.26,si,Normal,10.71
135,0.8,8.42,228.0,7.29,1019.96,no,Cold,-4.83
136,0.65,4.48,331.0,11.27,1011.0,si,Warm,26.15
137,0.93,9.32,108.0,3.11,1022.69,no,Cold,-2.76
138,0.69,11.27,80.0,11.27,1032.6,no,Cold,-1.11
139,0.78,13.99,329.0,15.87,1017.06,si,Normal,17.73
140,0.93,5.04,301.0,6.12,1014.12,si,Normal,8.86
141,0.52,17.71,170.0,9.98,1018.4,si,Normal,12.22
142,0.92,15.34,150.0,9.76,1010.25,si,Cold,2.11
143,0.87,19.93,150.0,14.91,1002.94,si,Normal,10.39
144,0.8,17.16,181.0,14.68,1008.72,si,Cold,2.27
145,0.89,3.22,230.0,16.1,1017.3,si,Cold,2.22
146,0.66,6.3,9.0,14.96,1005.41,si,Normal,8.19
147,0.72,14.1,232.0,0.0,0.0,si,Cold,2.35
148,0.44,12.96,40.0,9.98,1016.72,si,Normal,16.04
149,0.48,7.63,289.0,11.21,1017.85,si,Warm,22.17
150,0.37,9.35,17.0,9.98,1015.79,si,Warm,30.09
151,0.86,14.55,107.0,9.9,1019.98,si,Normal,10.02
152,0.25,7.2,137.0,16.1,1013.18,si,Warm,33.96
153,0.63,21.94,295.0,15.55,1007.15,si,Normal,14.06
154,0.48,10.88,129.0,15.83,1017.04,si,Warm,29.86
155,0.61,17.71,340.0,11.27,1013.9,si,Warm,18.89
156,0.77,3.64,276.0,9.98,1017.93,si,Normal,8.84
157,0.88,3.65,112.0,5.09,1027.48,si,Normal,8.74
158,0.31,9.66,300.0,9.98,1031.4,si,Normal,13.89
