encuentro_anio;encuentro_numero;encuentro_participantes;encuentro_tematica;Encuentro_destinatarios
2016;1;90;Encuentro Nacional de EA;Funcionarios de los Ministerios de Ambiente y Educación/Universidades/OSC
2016;1;90;Jornada ODS y ambiente;Funcionarios, educadores, empresarios, periodistas
2016;1;400;Jornadas internacionales de Emprendedurismo escolar;Alumnos de nivel secundario
2017;4;250;Estrategia Nacional de EA/Encuentros regionales de Educación Ambiental;Funcionarios de los Ministerios de Ambiente y Educación/Universidades/OSC
2017;2;3000;Eventos con Universidades;Autoridades provinciales/Autoridades y docentes universitarias
2017;2;130;ODS y sector empresario;Emprendedores y empresarios
2017;1;22;EA y edificios sutentables;Guías del museo de Casa Rosada
2017;1;700;Jornadas Municipales;Funcionarios provinciales y municipales. Instituciones educativas, OSC
2018;8;540;Estrategia Nacional de EA/Encuentros regionales de Educación Ambiental;Funcionarios de los Ministerios de Ambiente y Educación/Universidades/OSC
2018;2;150;MESAS DE DIÁLOGO INTERSECOTRIAL LAUDATOS SÍ-ODS;Funcionarios, educadores, empresarios, referentes religiosos
2018;10;350;Estrategia Nacional para la Sustentabilidad en las Universidades Argentinas;Autoridades y docentes universitarios
2018;1;170;Encuentro de Educación Ambiental y Exóticas Invasoras;Funcionarios, educadores, periodistas, cientìficos
2019;1;220;Encuentro Nacional de EA;Funcionarios de los Ministerios de Ambiente y Educación/Universidades/OSC
2019;2;20;Estrategia Nacional de EA/Encuentros provinciales de Educación Ambiental;Funcionarios provinciales de Educaciòn Ambiental
2019;2;50;Estrategia Nacional para la Sustentabilidad en las Universidades Argentinas;Autoridades y docentes universitarios
2019;7;80;Mesa intraministerial de gènero ambiente y desarrollo;Funcionarios públicos
