humedad,velocidad_viento_kmh,rumbo_viento_grados,visibilidad_km,presion_mbar,lluvia,descripcion,temperatura
0.92,11.27,130.0,8.05,1021.6,no,Cold,-0.56
0.73,20.93,330.0,16.1,1017.0,si,Warm,21.11
0.97,5.97,193.0,14.91,1013.99,si,Normal,16.6
0.82,3.22,300.0,16.1,1031.59,si,Cold,1.6
0.6,10.88,116.0,9.98,1020.88,si,Cold,2.19
0.32,21.46,190.0,10.35,1015.33,si,Warm,27.54
0.84,7.97,170.0,11.13,1009.04,si,Warm,19.98
0.86,14.49,30.0,15.13,1009.6,si,Normal,11.11
0.73,14.01,351.0,15.83,1018.39,si,Normal,8.41
0.81,6.44,320.0,7.86,1003.89,si,Cold,1.7
0.88,14.01,141.0,6.02,1021.28,no,Cold,-2.22
0.6,1.42,204.0,15.83,1019.52,si,Warm,21.9
0.87,11.03,1.0,14.91,1015.92,si,Normal,17.11
0.73,4.07,297.0,9.76,1013.06,si,Normal,17.77
0.39,7.66,35.0,9.98,1025.59,si,Warm,24.95
0.92,3.22,310.0,3.46,1024.3,no,Cold,-2.71
0.78,4.83,180.0,9.98,1018.76,si,Warm,18.89
0.82,20.4,280.0,15.83,1009.0,si,Cold,4.33
0.54,9.32,349.0,16.1,1013.24,si,Warm,23.89
0.68,12.38,350.0,9.98,1019.48,no,Cold,-2.22
0.78,23.68,32.0,14.17,1022.92,si,Normal,8.97
0.35,11.27,40.0,16.1,1018.01,si,Warm,21.2
0.83,1.75,190.0,16.1,1014.18,si,Normal,7.76
0.58,26.47,241.0,16.1,1013.71,si,Normal,16.04
0.4,15.02,180.0,9.98,1011.3,si,Warm,25.99
0.73,12.51,13.0,9.98,1012.96,si,Normal,17.81
0.92,9.11,143.0,1.05,1036.65,si,Cold,0.07
0.9,10.75,160.0,7.21,1009.98,si,Normal,12.78
0.86,3.19,192.0,6.2,1012.82,si,Normal,5.99
0.9,11.27,71.0,6.36,1008.54,no,Cold,-4.37
0.93,3.22,170.0,15.73,1015.81,si,Normal,14.98
0.96,9.66,253.0,3.01,1012.53,si,Normal,12.78
0.81,20.08,120.0,9.9,1022.6,si,Normal,12.06
0.75,3.22,20.0,16.1,1023.4,si,Normal,15.0
0.38,19.14,223.0,15.55,1006.44,si,Warm,22.73
0.56,10.21,109.0,15.55,1015.94,si,Normal,12.54
0.74,11.04,221.0,11.27,1007.3,si,Warm,20.81
0.74,11.27,290.0,9.98,1014.48,si,Warm,22.6
0.74,24.62,358.0,9.63,1008.34,si,Normal,13.66
0.29,17.08,309.0,9.98,1017.31,si,Warm,23.91
0.96,7.7,323.0,9.98,1032.17,si,Cold,2.57
0.73,9.66,200.0,11.27,1014.9,si,Warm,21.11
0.86,20.69,311.0,5.22,1018.23,si,Normal,4.98
0.65,20.53,320.0,9.98,1016.46,si,Warm,27.11
0.83,14.49,140.0,16.1,1002.7,si,Normal,7.22
0.68,11.21,1.0,11.27,1015.8,si,Warm,25.01
0.99,3.64,315.0,6.3,1014.85,si,Normal,16.13
0.84,3.24,355.0,14.17,1027.12,si,Normal,11.39
0.78,9.13,9.0,6.3,1017.82,si,Cold,2.29
0.96,26.45,197.0,15.01,992.24,si,Normal,9.58
0.61,44.63,309.0,11.5,1019.96,si,Normal,9.05
0.87,10.69,130.0,14.81,1011.08,si,Normal,4.98
0.95,1.74,146.0,8.58,1030.02,si,Normal,12.21
0.71,6.44,170.0,15.13,1032.8,no,Cold,-3.33
0.86,10.38,311.0,15.18,1017.52,si,Normal,17.82
0.47,8.03,267.0,10.35,1015.5,si,Warm,29.83
0.78,34.7,150.0,9.87,993.93,si,Normal,12.79
0.51,14.12,159.0,11.21,1006.26,si,Normal,14.95
0.49,11.67,312.0,11.45,1009.59,si,Normal,15.83
0.72,21.94,339.0,11.45,1017.13,si,Warm,19.97
0.85,16.74,312.0,10.26,1013.39,si,Normal,17.45
0.93,13.96,181.0,12.25,1019.68,si,Normal,6.69
0.86,16.1,320.0,11.27,1009.3,si,Normal,10.0
0.37,6.63,185.0,16.1,1009.93,si,Warm,24.0
0.91,7.57,349.0,11.21,1019.15,si,Normal,14.01
0.37,9.14,154.0,9.98,1010.72,si,Warm,27.61
0.6,8.13,52.0,9.98,1017.55,si,Normal,15.06
0.66,3.96,139.0,7.44,1012.64,si,Normal,17.28
