FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
08JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,14,0,,0
08JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,18,0,,0
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público,168,0,,0
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,4,0,,0
08JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,14,0,,0
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público,182,0,,0
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,8,0,,0
08JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,,0
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público,102,0,,0
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0
08JAN2021:00:00:00,61 a 70,F,Sputnik,Público,3,0,,0
08JAN2021:00:00:00,61 a 70,M,Sputnik,Público,4,0,,0
08JAN2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,0,,0
09JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,3,0,,0
09JAN2021:00:00:00,30 o menos,F,Sputnik,Público,24,0,,0
09JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,0,,0
09JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,1,0,,0
09JAN2021:00:00:00,30 o menos,M,Sputnik,Público,10,0,,0
09JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,3,0,,0
09JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,4,0,,0
09JAN2021:00:00:00,31 a 40,F,Sputnik,Público,81,0,,0
09JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,17,0,,0
09JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,,0
09JAN2021:00:00:00,31 a 40,M,Sputnik,Público,50,0,,0
09JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,11,0,,0
14FEB2021:00:00:00,31 a 40,M,Sputnik,Público,0,1,,0
14FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,1,7,,0
14FEB2021:00:00:00,41 a 50,F,Sputnik,Público,0,2,,0
14FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,0,1,,0
14FEB2021:00:00:00,51 a 60,M,Sputnik,Público,0,1,,0
16FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,1,,0
16FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,1,,0
16FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,3,5,,0
16FEB2021:00:00:00,31 a 40,F,Sputnik,Público,0,4,,0
16FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,6,,0
16FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,2,4,,0
16FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,2,,0
16FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,1,6,,0
16FEB2021:00:00:00,41 a 50,F,Sputnik,Público,0,2,,0
16FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,5,,0
16FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,2,,0
16FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,3,,0
17FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,70,10,,0
17FEB2021:00:00:00,30 o menos,F,Sputnik,Público,109,17,,0
17FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,15,8,,0
17FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,58,4,,0
17FEB2021:00:00:00,30 o menos,M,Sputnik,Público,41,9,,0
17FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,8,,0
17FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,152,20,,0
17FEB2021:00:00:00,31 a 40,F,Sputnik,Público,193,45,,0
17FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,30,14,,0
17FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,84,11,,0
17FEB2021:00:00:00,31 a 40,M,Sputnik,Público,104,26,,0
17FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,18,7,,0
17FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,136,7,,0
17FEB2021:00:00:00,41 a 50,F,Sputnik,Público,204,47,,0
17FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,29,11,,0
17FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,48,7,,0
17FEB2021:00:00:00,41 a 50,M,Sputnik,Público,87,18,,0
17FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,5,,0
17FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,55,3,,0
17FEB2021:00:00:00,51 a 60,F,Sputnik,Público,184,17,,0
17FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,19,8,,0
17FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,37,3,,0
17FEB2021:00:00:00,51 a 60,M,Sputnik,Público,88,7,,0
17FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,8,3,,0
17FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,16,0,,0
17FEB2021:00:00:00,61 a 70,F,Sputnik,Público,79,1,,0
17FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,10,0,,0
17FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,28,0,,0
17FEB2021:00:00:00,61 a 70,M,Sputnik,Público,64,1,,0
17FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,5,0,,0
17FEB2021:00:00:00,71 a 80,F,Sputnik,Público,4,0,,0
17FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,8,0,,0
17FEB2021:00:00:00,71 a 80,M,Sputnik,Público,4,0,,0
18FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,191,11,,0
18FEB2021:00:00:00,30 o menos,F,Sputnik,Público,273,19,,0
18FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,44,6,,0
18FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,93,4,,0
18FEB2021:00:00:00,30 o menos,M,Sputnik,Público,90,13,,0
18FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,17,2,,0
18FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,430,22,,0
18FEB2021:00:00:00,31 a 40,F,Sputnik,Público,483,43,,0
18FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,73,6,,0
18FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,211,18,,0
18FEB2021:00:00:00,31 a 40,M,Sputnik,Público,241,19,,0
18FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,36,4,,0
18FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,298,16,,0
18FEB2021:00:00:00,41 a 50,F,Sputnik,Público,607,41,,0
18FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,63,7,,0
